produto_comercial,empresa,ingrediente_2,ingrediente
DMA 806 BR,Dow Agrosciences Industrial Ltda. - Sao Paulo,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Doble,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,Acifluorfem-sodico (eteretilica) and bentazona (benzotiadiazinona),acifluorfem-sodico (eteretilica) and bentazona (benzotiadiazinona)
Dominum,Dow Agrosciences Industrial Ltda. - Sao Paulo,Aminopiralide (Acido piridiniloxialcanoico) and Fluroxipir-meptilico (Acido piridiniloxialcanoico),aminopiralide (acido piridiniloxialcanoico) and fluroxipir-meptilico (acido piridiniloxialcanoico)
Dominum XT,Dow Agrosciences Industrial Ltda. - Sao Paulo,Aminopiralide (Acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico) and Triclopir-butotilico (Acido piridiniloxialcanoico),aminopiralide (acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico) and triclopir-butotilico (acido piridiniloxialcanoico)
Dontor,Dow Agrosciences Industrial Ltda. - Sao Paulo,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Dorado,Adama Brasil S.A. - Londrina,Triclopir-butotilico (Acido piridiniloxialcanoico),triclopir-butotilico (acido piridiniloxialcanoico)
Douro 750 WG,Albaugh Agro Brasil Ltda.- Sao Paulo,hexazinona (triazinona),hexazinona (triazinona)
Draxx,Ouro Fino Química S.A. - Uberaba,sulfentrazona (triazolona),sulfentrazona (triazolona)
Drible,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,lactofem (eteretilica),lactofem (eteretilica)
Dropp Ultra SC,Bayer S.A. - Sao Paulo/ SP,diurom (ureia) and tidiazurom (ureia),diurom (ureia) and tidiazurom (ureia)
Druid 750 WG,Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.,hexazinona (triazinona),hexazinona (triazinona)
Dual Gold,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,metolacloro (cloroacetanilida),metolacloro (cloroacetanilida)
Dual Gold 915 EC,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,S_metolacloro (cloroacetanilida),s_metolacloro (cloroacetanilida)
Dublon SC,Avgust Crop Protection Importação e Exportação Ltda.,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Duo,Prentiss Química Ltda. - Campo Largo/PR,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Duozina,Agro Import do Brasil Ltda.,Atrazina (triazina) and simazina (triazina),atrazina (triazina) and simazina (triazina)
Egan,Albaugh Agro Brasil Ltda.- Sao Paulo,Dibrometo de diquate (bipiridílio),dibrometo de diquate (bipiridílio)
Electro,Ouro Fino Química S.A. - Uberaba,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Enlist Colex-D,Dow Agrosciences Industrial Ltda. - Sao Paulo,"2,4_D Sal de Colina (acido ariloxialcanoico)","2,4_d sal de colina (acido ariloxialcanoico)"
Enlistduo Colex-D,Dow Agrosciences Industrial Ltda. - Sao Paulo,"Glifosato Sal de Dimetilamina (glicina substituida) and 2,4_D Sal de Colina (acido ariloxialcanoico)","glifosato sal de dimetilamina (glicina substituida) and 2,4_d sal de colina (acido ariloxialcanoico)"
Entoar,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,tebutiurom (ureia),tebutiurom (ureia)
Envoke,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,trifloxissulfurom-sodico (sulfonilurea),trifloxissulfurom-sodico (sulfonilurea)
Equip Plus,Bayer S.A. - Sao Paulo/ SP,foramsulfurom (sulfonilurea) and iodosulfurom-metilico (sulfonilurea),foramsulfurom (sulfonilurea) and iodosulfurom-metilico (sulfonilurea)
Escudo,Adama Brasil S.A. - Londrina,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Escudo 500 EC,Adama Brasil S.A. - Londrina,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Esplanade,Bayer S.A. - Sao Paulo/ SP,indaziflam ( Alquilazina),indaziflam ( alquilazina)
Esplanade Optima,Bayer S.A. - Sao Paulo/ SP,indaziflam ( Alquilazina) and Iodossulfurom-Metílico-sodico (sulfonilurea),indaziflam ( alquilazina) and iodossulfurom-metílico-sodico (sulfonilurea)
Exemplo,Albaugh Agro Brasil Ltda.- Sao Paulo,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Explorer 500 SC,FMC Química do Brasil Ltda. - Campinas,sulfentrazona (triazolona),sulfentrazona (triazolona)
Extrazin SC,Oxon Brasil Defensivos Agricolas Ltda.,Atrazina (triazina) and simazina (triazina),atrazina (triazina) and simazina (triazina)
Fabian WG,Avgust Crop Protection Importação e Exportação Ltda.,clorimurom-etilico (sulfonilurea) and imazetapir (imidazolinona),clorimurom-etilico (sulfonilurea) and imazetapir (imidazolinona)
Facca,BRA Defensivos Agricolas Ltda. (Piracicaba),"picloram (acido piridinocarboxilico) and 2,4_D-trietanolamina (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d-trietanolamina (acido ariloxialcanoico)"
Facero SC,Iharabras S.A. Indústria Químicas - Sorocaba,Atrazina (triazina),atrazina (triazina)
Facet,Basf S.A. – Sao Paulo,quincloraque (Acido quinolinocarboxílico),quincloraque (acido quinolinocarboxílico)
Famoso,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,"picloram (acido piridinocarboxilico) and 2,4_D-trietanolamina (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d-trietanolamina (acido ariloxialcanoico)"
Farmozine,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,Atrazina (triazina),atrazina (triazina)
Fascinate BR,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,Glufosinato - sal de amônio (homoalanina substituida),glufosinato - sal de amônio (homoalanina substituida)
Fason,Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Field,ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Finale,Basf S.A. – Sao Paulo,Glufosinato - sal de amônio (homoalanina substituida),glufosinato - sal de amônio (homoalanina substituida)
Flak 200 SL,Cropchem Ltda,Paraquate (bipiridílio),paraquate (bipiridílio)
Flanker,Dow Agrosciences Industrial Ltda. - Sao Paulo,"picloram (acido piridinocarboxilico) and 2,4_D-triisopropanolamina (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d-triisopropanolamina (acido ariloxialcanoico)"
Flex,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,fomesafem (eteretilica),fomesafem (eteretilica)
Fluente,Ouro Fino Química S.A. - Uberaba,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Flumyzin 500,Sumitomo Chemical do Brasil Representações Ltda.,flumioxazina (ciclohexenodicarboximida),flumioxazina (ciclohexenodicarboximida)
Flumyzin 500 SC,Sumitomo Chemical do Brasil Representações Ltda.,flumioxazina (ciclohexenodicarboximida),flumioxazina (ciclohexenodicarboximida)
FONTFOP,Sinon do Brasil Ltda. - Porto Alegre /RS.,fluazifope-P-butilico (Acido ariloxifenoxipropionico),fluazifope-p-butilico (acido ariloxifenoxipropionico)
Fordor 750 WG,Bayer S.A. - Sao Paulo/ SP,isoxaflutol (isoxazol),isoxaflutol (isoxazol)
FortalezaBR,Ouro Fino Química S.A. - Uberaba,tebutiurom (ureia),tebutiurom (ureia)
Freno 240 EC,Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.,cletodim (oxima ciclohexanodiona),cletodim (oxima ciclohexanodiona)
Front,Du_Pont do Brasil S.A. - Barueri (Alphaville),diurom (ureia) and hexazinona (triazinona) and sulfometurom-metilico (sulfonilurea),diurom (ureia) and hexazinona (triazinona) and sulfometurom-metilico (sulfonilurea)
Fusiflex,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,fluazifope-P-butilico (Acido ariloxifenoxipropionico) and fomesafem (eteretilica),fluazifope-p-butilico (acido ariloxifenoxipropionico) and fomesafem (eteretilica)
Fusilade 250 EW,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,fluazifope-P-butilico (Acido ariloxifenoxipropionico),fluazifope-p-butilico (acido ariloxifenoxipropionico)
Fusta WG,Monsanto do Brasil Ltda - Sao Paulo,glifosato-sal de amônio (glicina substituida),glifosato-sal de amônio (glicina substituida)
Galigan 240 EC,Adama Brasil S.A. - Londrina,oxifluorfem (eteretilica),oxifluorfem (eteretilica)
Galigan 240 F,Adama Brasil S.A. - Londrina,oxifluorfem (eteretilica),oxifluorfem (eteretilica)
Gallant Max,Dow Agrosciences Industrial Ltda. - Sao Paulo,haloxifope-P-metilico (Acido ariloxifenoxipropionico),haloxifope-p-metilico (acido ariloxifenoxipropionico)
Gallant R,Dow Agrosciences Industrial Ltda. - Sao Paulo,haloxifope-P-metilico (Acido ariloxifenoxipropionico),haloxifope-p-metilico (acido ariloxifenoxipropionico)
Galop M,Adama Brasil S.A. - Londrina,"picloram (acido piridinocarboxilico) and 2,4_D-trietanolamina (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d-trietanolamina (acido ariloxialcanoico)"
Gamit,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Gamit 360 CS,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Gamit 800 EC,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Gamit Star,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Gamonium,Sinon do Brasil Ltda. - Porto Alegre /RS.,Glufosinato - sal de amônio (homoalanina substituida),glufosinato - sal de amônio (homoalanina substituida)
Gardomil,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,S_metolacloro (cloroacetanilida),s_metolacloro (cloroacetanilida)
Garlon 480 BR,Dow Agrosciences Industrial Ltda. - Sao Paulo,Triclopir-butotilico (Acido piridiniloxialcanoico),triclopir-butotilico (acido piridiniloxialcanoico)
Genius WG,Oxon Brasil Defensivos Agricolas Ltda.,Atrazina (triazina),atrazina (triazina)
Gesagard 500 SC,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,prometrina (triazina),prometrina (triazina)
Gesamena,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,Ametrina (triazina),ametrina (triazina)
Gesapax 500 Ciba-Geigy,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Ametrina (triazina),ametrina (triazina)
Gesaprim 500 Ciba-Geigy,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Atrazina (triazina),atrazina (triazina)
Gesaprim GrDa,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Atrazina (triazina),atrazina (triazina)
Gladium,Bayer S.A. - Sao Paulo/ SP,etoxissulfurom (sulfonilurea),etoxissulfurom (sulfonilurea)
Gli Ouro,Ouro Fino Química S.A. - Uberaba,glifosato (glicina substituida),glifosato (glicina substituida)
Gli-Up 480 SL,Cropchem Ltda,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Gli-Up 720 WG,Cropchem Ltda,glifosato-sal de amônio (glicina substituida),glifosato-sal de amônio (glicina substituida)
Gliall,BRA Defensivos Agricolas Ltda. (Piracicaba),glifosato (glicina substituida),glifosato (glicina substituida)
Gliato,Prentiss Química Ltda. - Campo Largo/PR,glifosato (glicina substituida),glifosato (glicina substituida)
Glif- All,Alamos do Brasil Ltda.,glifosato (glicina substituida),glifosato (glicina substituida)
Glifocopa 720 WG,COPALLIANCE - Cooperativa de Consumo de Produtos Agropecuários Ltda - Campinas,glifosato-sal de amônio (glicina substituida),glifosato-sal de amônio (glicina substituida)
Glifoready,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,glifosato (glicina substituida),glifosato (glicina substituida)
Glifoready Nufarm,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,glifosato (glicina substituida),glifosato (glicina substituida)
Gliforte,Tundra Agroindustrial Ltda.,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosal,Xingfa e Wenda do Brasil Ltda,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Glifosato 480 Agripec,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato 480 SL Alamos,Alamos do Brasil Ltda.,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato 72 WG Alamos,Alamos do Brasil Ltda.,glifosato-sal de amônio (glicina substituida),glifosato-sal de amônio (glicina substituida)
Glifosato 720 WG Nortox,Nortox S.A. - Arapongas,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato Agripec 720 WG,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,glifosato-sal de amônio (glicina substituida),glifosato-sal de amônio (glicina substituida)
Glifosato Alta 480 SL,ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato Atanor,Albaugh Agro Brasil Ltda.- Sao Paulo,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Glifosato Atanor IV,Albaugh Agro Brasil Ltda.- Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato Atar,Albaugh Agro Brasil Ltda.- Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato Atar 48,Albaugh Agro Brasil Ltda.- Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato CCAB 480 SL,CCAB Agro S.A. – Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato CCAB BR,CCAB Agro S.A. – Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato CHD'S,CHDS do Brasil Comércio de Insumos Agricolas Ltda,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato Fersol 480,Ameribras Indústria e Comércio Ltda.,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato High Load,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato IPA 480 Rainbow,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato K Atanor,Albaugh Agro Brasil Ltda.- Sao Paulo,glifosato-sal de potássio (glicina substituida),glifosato-sal de potássio (glicina substituida)
Glifosato Nortox,Nortox S.A. - Arapongas,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato Nortox 480 BR,Nortox S.A. - Arapongas,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Glifosato Nortox 480 SL,Nortox S.A. - Arapongas,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato Nortox SL,Nortox S.A. - Arapongas,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato Nortox WG,Nortox S.A. - Arapongas,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato Nuf BR,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,glifosato (glicina substituida),glifosato (glicina substituida)
Glifosato Soma 480 SL,CCAB Agro S.A. – Sao Paulo,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Glifosato TK,Albaugh Agro Brasil Ltda.- Sao Paulo,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Glifosato UPL 480 SL,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Glifosato Zamba,Albaugh Agro Brasil Ltda.- Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Glifoxin,Helm do Brasil Mercantil Ltda,glifosato (glicina substituida),glifosato (glicina substituida)
Glint,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,haloxifope-P-metilico (Acido ariloxifenoxipropionico),haloxifope-p-metilico (acido ariloxifenoxipropionico)
Glister,Sinon do Brasil Ltda. - Porto Alegre /RS.,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Glizmax,Dow Agrosciences Industrial Ltda. - Sao Paulo,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Glizmax Prime,Dow Agrosciences Industrial Ltda. - Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Glucare,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,Glufosinato - sal de amônio (homoalanina substituida),glufosinato - sal de amônio (homoalanina substituida)
Glufosinate-Ammonium 200 SL Yonon,Yonon Biociências e Defensivos Agricolas Ltda.,Glufosinato - sal de amônio (homoalanina substituida),glufosinato - sal de amônio (homoalanina substituida)
Glyphon,Nortox S.A. - Arapongas,glifosato (glicina substituida),glifosato (glicina substituida)
Glyphotal TR,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,glifosato (glicina substituida),glifosato (glicina substituida)
Glyphotal WG,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,glifosato (glicina substituida),glifosato (glicina substituida)
Glyweed,Sabero Organics América S.A.,glifosato (glicina substituida),glifosato (glicina substituida)
Goal BR,Dow Agrosciences Industrial Ltda. - Sao Paulo,oxifluorfem (eteretilica),oxifluorfem (eteretilica)
Goltix,Adama Brasil S.A. - Londrina,metamitrona (triazinona),metamitrona (triazinona)
Gopan,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Dibrometo de diquate (bipiridílio),dibrometo de diquate (bipiridílio)
Gramocil,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,diurom (ureia) and dicloreto de paraquate (bipiridílio),diurom (ureia) and dicloreto de paraquate (bipiridílio)
Gramoking,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,dicloreto de paraquate (bipiridílio),dicloreto de paraquate (bipiridílio)
Gramoxone 200,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,dicloreto de paraquate (bipiridílio),dicloreto de paraquate (bipiridílio)
GrandeBR,Ouro Fino Química S.A. - Uberaba,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Grandus WG,Cropchem Ltda,Atrazina (triazina) and nicossulfurom (sulfonilurea),atrazina (triazina) and nicossulfurom (sulfonilurea)
Grant,BRA Defensivos Agricolas Ltda. (Piracicaba),"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Graslan 100 Peletizado,Proventis Lifescience Defensivos Agricolas Ltda,tebutiurom (ureia),tebutiurom (ureia)
Grassato 480 SL,BRA Defensivos Agricolas Ltda. (Piracicaba),glifosato (glicina substituida),glifosato (glicina substituida)
Greener,Albaugh Agro Brasil Ltda.- Sao Paulo,metribuzim (triazinona),metribuzim (triazinona)
Grifo,Prentiss Química Ltda. - Campo Largo/PR,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Guerrero,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,amicarbazona (triazolinona) and diurom (ureia) and hexazinona (triazinona),amicarbazona (triazolinona) and diurom (ureia) and hexazinona (triazinona)
Gulliver,FMC Química do Brasil Ltda. - Campinas,azimsulfurom (sulfonilurea),azimsulfurom (sulfonilurea)
Gunner,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,Acifluorfem-sodico (eteretilica) and bentazona (benzotiadiazinona),acifluorfem-sodico (eteretilica) and bentazona (benzotiadiazinona)
"Haloxifop CCAB 124,7 EC",CCAB Agro S.A. – Sao Paulo,haloxifope-P-metilico (Acido ariloxifenoxipropionico),haloxifope-p-metilico (acido ariloxifenoxipropionico)
Heat,Basf S.A. – Sao Paulo,saflufenacil (pirimidinadiona),saflufenacil (pirimidinadiona)
Helmoquat,Helm do Brasil Mercantil Ltda,Dibrometo de diquate (bipiridílio),dibrometo de diquate (bipiridílio)
Helmoxone,Helm do Brasil Mercantil Ltda,dicloreto de paraquate (bipiridílio),dicloreto de paraquate (bipiridílio)
Herbadox 400 EC,Basf S.A. – Sao Paulo,pendimetalina (dinitroanilina),pendimetalina (dinitroanilina)
Herbi D-480,Adama Brasil S.A. - Londrina,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Herbicana,Nortox S.A. - Arapongas,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Herbimix SC,Adama Brasil S.A. - Londrina,Atrazina (triazina) and simazina (triazina),atrazina (triazina) and simazina (triazina)
Herbimix WG,Adama Brasil S.A. - Londrina,Atrazina (triazina) and simazina (triazina),atrazina (triazina) and simazina (triazina)
Herbipak 500 BR,Adama Brasil S.A. - Londrina,Ametrina (triazina),ametrina (triazina)
Herbipak WG,Adama Brasil S.A. - Londrina,Ametrina (triazina),ametrina (triazina)
Herbipropanin,Adama Brasil S.A. - Londrina,propanil (anilida),propanil (anilida)
Herbipropanin 450 EC,Adama Brasil S.A. - Londrina,propanil (anilida),propanil (anilida)
Herbitrin 500 BR,Adama Brasil S.A. - Londrina,Atrazina (triazina),atrazina (triazina)
Herbitrin WG,Adama Brasil S.A. - Londrina,Atrazina (triazina),atrazina (triazina)
Herburon 500 BR,Adama Brasil S.A. - Londrina,diurom (ureia),diurom (ureia)
Herburon WG,Adama Brasil S.A. - Londrina,diurom (ureia),diurom (ureia)
Herbzina,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,Atrazina (triazina),atrazina (triazina)
Herbzina Plus,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,Atrazina (triazina),atrazina (triazina)
Hexafort,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,hexazinona (triazinona),hexazinona (triazinona)
Hexanil 750 WG,Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.,hexazinona (triazinona),hexazinona (triazinona)
Hexaplus,Ouro Fino Química S.A. - Uberaba,clomazona (isoxazolidinona) and hexazinona (triazinona),clomazona (isoxazolidinona) and hexazinona (triazinona)
Hexaron,Adama Brasil S.A. - Londrina,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Hexaron WG,Adama Brasil S.A. - Londrina,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Hexazinona - D Nortox,Nortox S.A. - Arapongas,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Hexazinona 750 Volcano,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,hexazinona (triazinona),hexazinona (triazinona)
Hexazinona 750 WG Cropchem,Cropchem Ltda,hexazinona (triazinona),hexazinona (triazinona)
Hexazinona Nortox,Nortox S.A. - Arapongas,hexazinona (triazinona),hexazinona (triazinona)
Hexazinona Nortox SL,Nortox S.A. - Arapongas,hexazinona (triazinona),hexazinona (triazinona)
Hexazinone 250 SL BASE,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,hexazinona (triazinona),hexazinona (triazinona)
Hexazinone UPL 250 SL,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,hexazinona (triazinona),hexazinona (triazinona)
Hexazuron,Agro Import do Brasil Ltda.,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Hexicana,Nortox S.A. - Arapongas,hexazinona (triazinona),hexazinona (triazinona)
Hussar,Bayer S.A. - Sao Paulo/ SP,iodosulfurom-metilico (sulfonilurea),iodosulfurom-metilico (sulfonilurea)
Imazaquim Ultra Nortox,Nortox S.A. - Arapongas,imazaquim (imidazolinona),imazaquim (imidazolinona)
Imazet 70 WG,FMC Química do Brasil Ltda. - Campinas,imazetapir (imidazolinona),imazetapir (imidazolinona)
Imazetapir 106 BR,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,imazetapir (imidazolinona),imazetapir (imidazolinona)
Imazetapir CCAB 106 SL,CCAB Agro S.A. – Sao Paulo,imazetapir (imidazolinona),imazetapir (imidazolinona)
Imazetapir Plus Nortox,Nortox S.A. - Arapongas,imazetapir (imidazolinona) and imazetapir (imidazolinona),imazetapir (imidazolinona) and imazetapir (imidazolinona)
Imazetapir Prentiss,Prentiss Química Ltda. - Campo Largo/PR,imazetapir (imidazolinona),imazetapir (imidazolinona)
Intruder,Dow Agrosciences Industrial Ltda. - Sao Paulo,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Invest,Basf S.A. – Sao Paulo,ciclossulfamurom (sulfonilurea),ciclossulfamurom (sulfonilurea)
Irado 800 WG,Cropchem Ltda,diurom (ureia),diurom (ureia)
Jacaré,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Jaffa,Adama Brasil S.A. - Londrina,cletodim (oxima ciclohexanodiona),cletodim (oxima ciclohexanodiona)
Jaguar,Dow Agrosciences Industrial Ltda. - Sao Paulo,"Aminopiralide (Acido piridiniloxialcanoico) and 2,4_D (acido ariloxialcanoico)","aminopiralide (acido piridiniloxialcanoico) and 2,4_d (acido ariloxialcanoico)"
Jaguar Ultra,Dow Agrosciences Industrial Ltda. - Sao Paulo,"Aminopiralide (Acido piridiniloxialcanoico) and 2,4_D (acido ariloxialcanoico)","aminopiralide (acido piridiniloxialcanoico) and 2,4_d (acido ariloxialcanoico)"
Jornada,Dow Agrosciences Industrial Ltda. - Sao Paulo,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Jump,Adama Brasil S.A. - Londrina,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Kabuki,Nichino do Brasil Agroquimicos Ltda.,piraflufem (Fenilpirazol),piraflufem (fenilpirazol)
Kamex 900 WG,Adama Brasil S.A. - Londrina,diurom (ureia) and diurom (ureia),diurom (ureia) and diurom (ureia)
Kaner 800 WG,Cropchem Ltda,Ametrina (triazina),ametrina (triazina)
Kaptron,Dow Agrosciences Industrial Ltda. - Sao Paulo,Aminopiralide (Acido piridiniloxialcanoico) and Fluroxipir-meptilico (Acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico),aminopiralide (acido piridiniloxialcanoico) and fluroxipir-meptilico (acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico)
Karmex,Adama Brasil S.A. - Londrina,diurom (ureia),diurom (ureia)
Karmex 800,Adama Brasil S.A. - Londrina,diurom (ureia),diurom (ureia)
Katana,ISK Biosciences do Brasil Defensivos Agricolas Ltda,flazasulfurom (sulfonilurea),flazasulfurom (sulfonilurea)
Kelion 50 WG,Nichino do Brasil Agroquimicos Ltda.,orthosulfamuron (sulfonilurea),orthosulfamuron (sulfonilurea)
Keltor,Basf S.A. – Sao Paulo,saflufenacil (pirimidinadiona),saflufenacil (pirimidinadiona)
Kennox,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,cletodim (oxima ciclohexanodiona) and haloxifope-P-metilico (Acido ariloxifenoxipropionico),cletodim (oxima ciclohexanodiona) and haloxifope-p-metilico (acido ariloxifenoxipropionico)
